,title,description,type,rating
1914,Eat Pray Love,"After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.",Movie,PG-13
1915,Echcharikkai,"After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down.",Movie,TV-14
1916,Echo in the Canyon,"An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians.",Movie,PG-13
1917,Eddie - Strongman,British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.,Movie,TV-MA
1918,Eddie Murphy: Delirious,"Flashing the wild stand-up comedy that made him a household name, Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.",Movie,TV-MA
1919,Eddie Murphy: Raw,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood.",Movie,R
1921,Edge of Fear,"During a wilderness getaway, a gang of sociopathic criminals kidnap a woman and assault her husband, who must summon all his strength to save her.",Movie,TV-MA
1922,Edge of Seventeen,A 17-year-old confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences.,Movie,TV-MA
1924,Edha,"Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",TV Show,TV-MA
1925,"Edmilson Filho: Notas, Comedy about Relationships","Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.",Movie,TV-MA
1926,Edoardo Ferrario: Temi Caldi,"Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer.",Movie,TV-MA
1927,Ee Nagaraniki Emaindi,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",Movie,TV-14
1928,Eeda,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.,Movie,TV-14
1929,Eerie,"When a student's suicide rattles an all-girls Catholic school, a clairvoyant guidance counselor leans on a ghost to uncover the convent's abusive past.",Movie,TV-14
1930,Effie Gray,"Trapped in a loveless marriage, the young wife of Victorian-era art critic John Ruskin finds herself falling for an artist — and looking for a way out.",Movie,PG-13
1931,Eggnoid: Love & Time Portal,"Sent from the future to look after a lonely girl, Eggy finds himself falling for her. But dating is forbidden and would risk both their fates.",Movie,TV-14
1932,Eh Janam Tumhare Lekhe,"Driven by the lessons he learned from his mother, and the values of the Sikh religion, a man sets out on a mission to serve humanity.",Movie,TV-14
1933,Einsatzgruppen: The Nazi Death Squads,"This documentary series examines the Einsatzgruppen, Nazis responsible for the mass murder of Jews, Romani and Soviet prisoners in Eastern Europe.",TV Show,TV-MA
1934,Either Me Or My Auntie,"A musician's marriage proposal to his girlfriend is denied by her mother, whose affinity for magic begins to meddle in their relationship even more.",Movie,TV-PG
1935,Ek Cup Chya,A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.,Movie,TV-PG
1936,Ek Hasina Thi,"Imprisoned for underworld crimes she didn’t commit, a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her.",Movie,TV-MA
1937,Ek Jaan Hain Hum,"While trying to win over his beloved’s parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense.",Movie,TV-14
1938,Ek Khiladi Ek Haseena,"Indebted to a gangster, a grifter assembles a band of fellow swindlers to attempt his biggest scam yet, but it's soon clear that no one can be trusted.",Movie,TV-14
1939,Ek Ladki Ko Dekha Toh Aisa Laga,"As her family seeks to marry her off and a hopeful writer pursues her, a small-town woman struggles to reveal the long-hidden truth about who she loves.",Movie,TV-14
1940,Ek Main Aur Ekk Tu,Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.,Movie,TV-14
1941,Ekşi Elmalar,"In an eastern Turkish town, suitors knock on the door of the mayor and father of three beautiful daughters who choose to follow their own paths.",Movie,TV-PG
1942,El último testigo,A security expert and ex-CIA agent living in Belgium must go on the run with his estranged teen daughter when they're both marked for assassination.,Movie,R
1944,El Camino Christmas,"Stuck in a liquor store during an alleged robbery, a group of strangers shares hidden truths and forms an unexpected bond on Christmas Eve.",Movie,TV-MA
1945,El Camino: A Breaking Bad Movie,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul.",Movie,TV-MA
1946,El Cartel,One man makes a fateful decision to get involved with a Colombian drug cartel in this series based on a novel by Andrés López López.,TV Show,TV-MA
1947,El Cartel 2,Drug trafficker Pepe Cadena navigates the treacherous waters of warring cartels in Mexico and Colombia while avoiding capture by the DEA and police.,TV Show,TV-MA
1948,El Chapo,"This drama series chronicles the true story of the rise, capture and escape of notorious Mexican drug lord Joaquín ""El Chapo"" Guzmán.",TV Show,TV-MA
1949,El Chavo,"El Chavo is a poor, nameless orphan who lives in an apartment building with La Chilindrina, Quico, Doña Florinda, Don Ramón and Professor Jirafales.",TV Show,TV-PG
1950,El Che,"Spanish-Mexican writer Paco Ignacio Taibo II hits the road to trace the footsteps of Ernesto ""Che"" Guevara and sheds new light on the revolutionary.",Movie,TV-14
1951,El Clon,"Religion thwarted Lucas and Jade's young love. They reunite decades later, but Jade's heart is torn between the man she knew and his younger clone.",TV Show,TV-14
1952,El club de los buenos infieles,Four childhood buddies in passionless marriages try a counterintuitive idea: a secret club for men who want to cheat – to regain lust for their wives.,Movie,TV-MA
1953,El club de los insomnes,"An insomniac, an aspiring photographer and a pregnant veterinarian form a unique friendship during late-night meetings at a 24-hour mini-mart.",Movie,TV-MA
1954,El desconocido,"Based on real events, the fictional story of Mexican drug lord El Chato's number one hitman, El Cholo.",TV Show,TV-MA
1955,El Dragón: Return of a Warrior,"To replace his grandfather as head of a cartel, a Tokyo financier returns to his home country of Mexico, where he must battle two rivals for control.",TV Show,TV-MA
1956,"El Especial de Alex Fernández, el Especial","From a Mexico City theme park, energetic stand-up Alex Fernández riffs on music, cheap toys, insecurity and other fun things about growing up.",Movie,TV-MA
1957,El fin de ETA,"This documentary chronicles the decade-long process that led to the end of the ETA, a Basque terrorist group that operated for more than 50 years.",Movie,TV-14
1958,El límite infinito,"From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports.",Movie,TV-PG
1959,El Marginal,"While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity.",TV Show,TV-MA
1960,"El Pepe, a Supreme Life","In this intimate documentary, former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison, his ideals and the future.",Movie,TV-14
1961,El Potro: Unstoppable,"Argentine cuarteto singer Rodrigo ""El Potro"" Bueno rises to fame amid personal struggles in this dramatization of the charismatic superstar's life.",Movie,TV-MA
1962,El Reemplazante,A former high-ranking financial executive finds redemption and romance when he's paroled after a prison sentence and becomes a math teacher.,TV Show,TV-MA
1963,El señor de los Cielos,Only Aurelio Casillas can fill Pablo Escobar's shoes and become Mexico's biggest drug trafficker of the '90s.,TV Show,TV-MA
1964,El sendero de la anaconda,"In the most remote areas of the Amazon jungle, a writer and his anthropologist friend meet communities who have resisted change for centuries.",Movie,TV-14
1965,El silencio es bienvenido,"As a teen languishes during a spiritless road trip, she learns of the troubles in her parents' marriage as a crisis in her country looms.",Movie,TV-14
1966,El testigo,Colombian photojournalist Jesús Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.,Movie,TV-14
1967,El Vato,"Regional Mexican singer El Vato and his friends struggle to succeed in the enticing but deceptive music world in Los Angeles, California.",TV Show,TV-MA
1968,El Viaje: Márama y Rombai,Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom.,Movie,TV-PG
1969,El-Khawaga's Dilemma,"After a car crash, sparks fly for a financially struggling man and the daughter of a business tycoon, unraveling dark secrets and loose ends.",Movie,TV-14
1970,Elaan,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers.",Movie,TV-14
1971,Elena,"In this documentary, the director remembers a sister who left behind her life under Brazil’s dictatorship and moved to New York with dreams of acting.",Movie,TV-14
1972,Elephants Dream 4 Hour,"Friends Proog and Emo live in a capricious, seemingly infinite machine with a sinister purpose in this experimental computer-animated short.",Movie,TV-MA
1973,Elevator Baby,"A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.",Movie,TV-MA
1974,Elf Pets: A Fox Cub’s Christmas Tale,An elite team of elves – and their furry fox cub friends – help bring the Christmas spirit to a boy whose mom may not make it home for the holidays.,Movie,TV-Y
1975,Elf Pets: Santa’s Reindeer Rescue,"Determined to help Santa get ready for his merry rounds of gift-giving, a team of special elves wrangles in more reindeer and much-needed holiday magic.",Movie,TV-Y
1976,Eli,"With his desperate parents in tow, an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",Movie,TV-MA
1977,Elisa & Marcela,"In 1901 Spain, Elisa Sánchez Loriga adopts a male identity in order to marry the woman she loves, Marcela Gracia Ibeas. Based on true events.",Movie,TV-MA
1978,Elite,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",TV Show,TV-MA
1980,Elizabeth Harvest,"When a young newlywed enters the one chamber in her husband’s mansion that’s off-limits, she faces the horrifying consequences of defying the rules.",Movie,R
1981,Ellen DeGeneres: Relatable,"In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt – and hilarious – lessons she's learned along the way.",TV Show,TV-MA
1982,Elles étaient en guerre (1914-1918),Trace the overlapping journeys of exceptional women swept up in World War I and hear their tales of bravery on history's front lines.,Movie,TV-14
1983,Elles étaient en guerre 1939-1945,"Mothers, nurses, soldiers and deportees – these women fought against persecution for freedom and survival amid the turbulence of World War II.",Movie,TV-MA
1984,Elles ont toutes une histoire,"From Asia, Africa and Latin America, five women share extraordinary stories of strength and determination in the face of violence and inequality.",Movie,TV-PG
1986,Elstree 1976,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",Movie,TV-PG
1987,Emelie,"A suburban couple hires a new sitter to watch their three kids for the night, unaware that the young woman isn't who she claims to be.",Movie,TV-MA
1988,EMI: Liya Hai To Chukana Padega,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,Movie,TV-14
1989,Emicida: AmarElo - It’s All For Yesterday,"Between scenes from his concert in São Paulo's Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture.",Movie,TV-MA
1990,Emily in Paris,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance.",TV Show,TV-MA
1991,Emily's Wonder Lab,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments that'll make you think — and blow your mind!",TV Show,TV-Y
1992,Emma' (Mother),"In 1950s Makassar, the life of a devoted mother is upended when another woman enters her husband's life.",Movie,TV-PG
1993,Emo the Musical,"Expelled from private school for attempted suicide, emo Ethan enters the world of Seymour High and meets a cute Christian who's ready to convert him.",Movie,TV-MA
1994,Emogenius,"Two pairs of contestants go head-to-head for several rounds, deciphering puzzles and messages comprised of emojis for a chance at a $10,000 prize.",TV Show,TV-PG
1995,Empire Games,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.,TV Show,TV-14
1996,Empire of Scents,This documentary explores the extent to which our sense of smell directs our survival instincts and enriches our sensual experiences.,Movie,TV-14
1997,Employee of the Month,Warehouse workers Vince and Zack compete in a full-on war to be named Employee of the Month and win a date with their dream girl.,Movie,PG-13
1998,Encerrados,"This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally.",TV Show,TV-MA
1999,Encounter: The Killing,"After accidentally killing a young mobster, a guilt-stricken police officer searches for the parents who never came forward to claim their son's body.",Movie,TV-14
2000,Encounters with Evil,"This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals.",TV Show,TV-14
2001,End Game,"Facing an inevitable outcome, terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death.",Movie,TV-PG
2002,End of Watch,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.",Movie,R
2003,Enemigo íntimo,"Siblings separated as children who no longer recognize each other are pitted against each other in a war involving drugs, crime and betrayal.",TV Show,TV-MA
2004,Enemy,"When a humdrum academic spots his double in a movie, he launches a search that leads him to a small-time actor who looks exactly like him.",Movie,R
2005,Engineering Girls,"Three engineering students deal with dorm drama, date around, and do whatever it takes to make their dreams come true.",TV Show,TV-MA
2006,English Babu Desi Mem,"After his brother dies, wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him.",Movie,TV-14
2007,Enissa Amani: Ehrenwort,"Live from Hamburg, Iranian-German comedian Enissa Amani shares her take on German engineering, tax deductions and online fan-mail etiquette.",Movie,TV-MA
2008,Enlighten Us,This documentary digs deep to recount the saga of the superstar self-help guru convicted of negligent homicide in the deaths of three followers.,Movie,TV-14
2009,Enola Holmes,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",Movie,PG-13
2010,Entangled,"When the children of two families become friends, they begin to unravel a horrific crime in the past that already linked their fathers to each other.",TV Show,TV-14
2011,Entanglement,"After his ailing father makes a shocking confession, a desperately depressed man sets out to find the woman he believes will change his destiny.",Movie,TV-MA
2012,Enter the Anime,"What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced peek behind the curtain seeks to find the answers.",Movie,TV-MA
2013,Enter the Dragon,"Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.",Movie,R
2014,Enter the Warriors Gate,"An avid gamer is magically transported to ancient China, where he must become a warrior in order to save the princess from an evil warlord.",Movie,PG-13
2015,Episodes,"Hoping to create an American version of their hit British sitcom, two screenwriters run into cultural obstacles, starting with the lead character.",TV Show,TV-MA
2016,Equals,Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have been relieved of all emotions.,Movie,PG-13
2018,Equilibrium,"In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death.",Movie,R
2019,Equinox,"Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth.",TV Show,TV-MA
2020,Erased,"Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past, he has a chance to save his murdered classmates.",TV Show,TV-14
2021,Eric Andre: Legalize Everything,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",Movie,TV-MA
2022,Eric ldle's What About Dick?,"In a madcap stage play from Monty Python icon Eric Idle, comic greats perform the decline and fall of the British Empire ... as told through a piano.",Movie,TV-MA
2023,Errementari: The Blacksmith and the Devil,"A brutal blacksmith tortures a demon he blames for his misery, unaware a trespassing orphan is about to change everything. Based on Basque folklore.",Movie,TV-MA
2024,Escape from Mr. Lemoncello’s Library,An eccentric game designer builds a library full of traps and tricks for a group of kids who score the chance to navigate his elaborate scavenger hunt.,Movie,TV-Y
2025,"Escape from the ""Liberty"" Cinema","Artistic rebellion ignites at the movies when film characters suddenly speak freely to the audience, prompting a surly censor to combat the uprising.",Movie,TV-MA
2026,Escaping Tel Aviv,"After her husband reveals he's an undercover Mossad agent, an Egyptian woman and their children are taken to Israel, prompting an urgent rescue mission.",Movie,TV-14
2027,Especial 20 años Fútbol de Primera,"Revisit the emotional bouts and memorable highlights from the past two decades in this special celebrating esteemed TV show ""Fútbol de Primera.""",TV Show,TV-14
2029,Estar o no estar,"An ill and addled man recalls what seems to be a brief but powerful past romance with a kindred spirit, a young Russian woman who lived a lonely life.",Movie,TV-14
2030,Eternal Love,"After the deities Bai Qian and Ye Hua meet and fall in love, their romance stands the test of three lifetimes — each an epic in its own right.",TV Show,TV-14
2031,Ethirmarai,"While investigating a brutal string of deaths, a detective begins to suspect that mind control may have played a part in the murders.",Movie,TV-14
2032,Ethos,A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.,TV Show,TV-MA
2033,Eugenie Nights,"In 1940s Port Said, Kariman finds comfort and solace in the arms of an unhappily married man, who also happens to be her abusive husband's brother.",TV Show,TV-14
2034,Euphoria,"An entrepreneur prone to partying and his estranged brother, a teacher resigned to a humdrum life, begin to bond under fragile circumstances.",Movie,R
2035,Eurovision Song Contest,Singers from all over Europe represent their countries in an international showdown and vie for superstar glory.,TV Show,TV-PG
2036,Eurovision Song Contest: The Story of Fire Saga,"Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",Movie,PG-13
2038,EVANGELION: DEATH (TRUE)²,"Fifteen years after the Second Impact, apathetic teen Shinji joins his father's group NERV to fight the Angels. But the truth may destroy them all.",Movie,TV-MA
2039,Eve's Apple,Interviews with global policymakers and girls in Gambia and Kenya detail the horrors of female genital mutilation and the growing efforts to end it.,Movie,TV-MA
2040,Evelyn,"Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing.",Movie,TV-MA
2041,Even the Rain,"While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation.",Movie,TV-MA
2042,Evening Shadows,"When her son comes out to her as gay, a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values.",Movie,TV-PG
2043,Event Horizon,"After a signal is received from a long-missing spaceship, a rescue ship investigates, but the crew soon realizes something unimaginable has happened.",Movie,R
2045,Every Time I Die,"After a paramedic’s violent death during a weekend trip, his spirit inhabits his friends’ bodies in an effort to save them from a similar fate.",Movie,TV-MA
2046,Everybody Knows,"Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted.",Movie,R
2047,Everyday I Love You,"While patiently waiting for her boyfriend to come out of his coma, Audrey finds herself falling for the caring and successful Ethan.",Movie,TV-14
2048,Everyday Miracles,Materials scientist Mark Miodownik takes us into the world of everyday objects that make our lives more comfortable than those of our ancestors.,TV Show,TV-PG
2049,Everything About Her,A hard-driving real estate tycoon who becomes ill with cancer hires a medical caretaker who helps her begin to mend fences with her estranged son.,Movie,TV-MA
2050,Everything Sucks!,"It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era.",TV Show,TV-14
2051,Evil,A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.,TV Show,TV-14
2052,Evil Genius,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck – and gets weirder from there.,TV Show,TV-MA
2053,Evolution,"After two community college geology professors discover microscopic alien life-forms on a meteorite, the military and government become involved.",Movie,PG-13
2054,Evvarikee Cheppoddu,"When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.",Movie,TV-14
2055,Ex Machina,"A coder at a tech company wins a week-long retreat at the compound of his company's CEO, where he's tasked with testing a new artificial intelligence.",Movie,R
2056,Ex-Boyfriend,"Still haunted by the traumatic event that ended her high school romance, a young professional gets a new subordinate: her former sweetheart.",TV Show,TV-14
2057,Examination of Conscience,"Allegations of child sexual abuse in Spain's Catholic institutions are examined in interviews with survivors, clergy, journalists and other experts.",TV Show,TV-MA
2058,Exclusive Edition,"Young journalists working for a magazine juggle careers, romance and other challenges while reporting on social issues and news stories in Malaysia.",TV Show,TV-14
2059,Executive Decision,"When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington, D.C., commandos use an experimental plane to try to stop them.",Movie,R
2060,Exes Baggage,"After years apart, a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past.",Movie,TV-MA
2061,Exhibit A,This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.,TV Show,TV-MA
2062,Exit Afghanistan,"Featuring interviews with participants on all sides, this documentary questions Norway and the West's protracted military involvement in Afghanistan.",Movie,TV-MA
2064,Exit Wounds,Maverick cop Orin Boyd joins forces with an unlikely ally in gangster Latrell Walker to take down a group of dirty Detroit cops.,Movie,R
2066,Expedition Happiness,"A filmmaker and his musician girlfriend attempt an epic road trip with their dog, traveling across North America in a refurbished school bus.",Movie,TV-PG
2067,Expelled from Paradise,"In the wake of a global catastrophe, the human survivors are ""uploaded"" into a cyber network, but someone or something is infiltrating the system.",Movie,TV-MA
2068,Explained,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop.",TV Show,TV-MA
2069,Expo,"Mistakenly accused of kidnapping, a veteran soldier leaves a trail of broken bad guys in his wake as he tries to rescue a teen sex trafficking victim.",Movie,TV-14
2070,Extinction,"Plagued by dreams of an alien invasion, a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants.",Movie,TV-MA
2071,Extraction,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,Movie,R
2072,Extracurricular,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,TV Show,TV-MA
2073,Extras,"Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras.",TV Show,TV-MA
2074,Extreme Engagement,An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?,TV Show,TV-MA
2075,"Extremely Wicked, Shockingly Evil and Vile",Single mother Liz falls for Ted Bundy and refuses to believe the truth about his crimes for years. A drama based on a true story.,Movie,R
2076,Extremis,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.",Movie,TV-PG
2077,Eye For An Eye,"A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse, whose life was tragically impacted by the drug lord.",Movie,TV-MA
2078,Eyyvah Eyyvah,"A clarinet player who lives with his grandparents in a small village is forced to move to Istanbul, where he meets a singer enjoying sudden fame.",Movie,TV-MA
2079,Eyyvah Eyyvah 2,"Hüseyin has found his father, and now has one more mission – to get together with the girl of his dreams, with a little help from his new friend.",Movie,TV-PG
2080,Eyyvah Eyyvah 3,"Life is tough for Hüseyin after marrying his true love. He works day and night to support his growing family, while singer Firuzan copes with fame.",Movie,TV-PG
2081,Ezel,A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.,TV Show,TV-14
2082,海的儿子,"Two brothers start a new life in Singapore, where they run into a childhood friend who falls in love with the elder while attracting the younger.",TV Show,TV-14
2083,F is for Family,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",TV Show,TV-MA
2084,F the Prom,"Maddy and Cole were inseparable before high school. Then she got popular; he didn't. But after Maddy is betrayed, she and Cole reunite – to ruin prom.",Movie,TV-MA
2085,F.R.E.D.I.,"Venturing into the woods, high schooler James discovers an intelligent robot that he must save from the hands of a businessman with an evil scheme.",Movie,TV-PG
2086,Fabrizio Copano: Solo pienso en mi,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",Movie,TV-MA
2087,Fabulous Lives of Bollywood Wives,"Cameras follow the banter and bonding between four fun-loving women from Bollywood’s inner circle as they juggle professions, family and friendship.",TV Show,TV-MA
2088,Face 2 Face,"Two former friends, who now live far apart, learn about each other's insecurities and secrets over a series of video chats.",Movie,TV-MA
2089,Fadily Camara : La plus drôle de tes copines,"Irrepressible French comedian Fadily Camara weaves jokes, vivid characters and physical comedy into a lively stand-up show at La Cigale in Paris.",Movie,TV-MA
2090,Fairy Tail,"When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission.",TV Show,TV-MA
2093,Fakkah Fuzz: Almost Banned,Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.,Movie,TV-MA
2094,Fakta Ladh Mhana,"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful, unscrupulous politician.",Movie,TV-14
2095,Fall Girls,"Following a night of hard partying that left their tycoon boss dead, four women try to keep it a secret in hopes of closing a billion-dollar deal.",Movie,TV-14
2096,Fall in Love with Me,The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger – not realizing they're the same person.,TV Show,TV-14
2097,Fallen,A tough homicide cop faces his most dangerous assignment when he must stop a murderous evil spirit who can move from one host to the next.,Movie,R
2098,Fallet,A Swedish detective and her timid British colleague's attempt to solve a gruesome murder case nets mixed results and miscommunication.,TV Show,TV-MA
2099,Falling Inn Love,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",Movie,TV-PG
2100,Falsa identidad,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,TV Show,TV-MA
2101,Falz Experience,"Playing multiple characters, from lawyer to preacher, Nigerian artist Falz combines cinema with a concert after his successful 2017 end-of-year show.",Movie,TV-MA
2102,Familiar Wife,"After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.",TV Show,TV-MA
2103,Familiye,"An ex-con struggles to take care of his two brothers, a gambling addict and a young man with Down syndrome, after being released from prison.",Movie,TV-MA
2104,Family Blood,"A former addict moves to a new city with her children for a fresh start, but her struggle soon takes on an unexpected, supernatural dimension.",Movie,TV-MA
2105,Family Business,"After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café.",TV Show,TV-MA
2106,Family Reunion,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",TV Show,TV-PG
2107,Famous in Ahmedabad,Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at India’s biggest kite-flying festival.,Movie,TV-14
2109,Fanatic,"When a successful young rap star has an affair with an obsessive fan, his life is turned upside down when she kidnaps him.",Movie,TV-14
2110,Fanatyk,"As a son deals with his own struggles, he must calm his father's obsession with fishing before his outlandish behavior ruins the entire family.",Movie,TV-MA
2113,Fantastica,The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission.,Movie,TV-PG
2114,Faraar,"When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence.",Movie,TV-14
2115,Farce,"A beauty expert, a drug dealer and a bungling revolutionary end up in the grips of an extremist group after meeting on a plane to Lebanon.",Movie,TV-MA
2116,Fartsa,"As four Russian friends grow up in the early '60s, life, love and the curse of success threaten to derail their dreams.",TV Show,TV-14
2117,Fary : Hexagone,"French comedy phenom Fary puts a playful spin on questions of identity, culture and more in the first half of an epic two-part stand-up special.",TV Show,TV-MA
2118,Fary Is the New Black,"Armed with sly wit, a fresh outlook and plenty of style, French comedy star Fary veers from dating to stereotypes and beyond in this exclusive special.",Movie,TV-MA
2119,Fashion,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.,Movie,TV-MA
2121,Fastest Car,The drivers of exotic supercars put their street cred on the line against deceptively fast sleeper cars built and modified by true gearheads.,TV Show,TV-MA
2122,Fat Ballerina - David A. Arnold,"Finally comfortable in his skin, seasoned comic David A. Arnold shares his talent for doing nothing, how he's petty and why divorce saves marriages.",Movie,TV-MA
2123,Fatal Affair,A lawyer is caught in a terrifying game of cat and mouse when a drink with an old friend escalates into an obsession that jeopardizes everyone she loves.,Movie,TV-14
2124,Fatal Destiny,A young man from a humble family is drawn into a life of crime – and soon confronts a determined cop in hot pursuit.,TV Show,TV-MA
2125,Fate/Apocrypha,The theft of the Greater Grail from Fuyuki City leads to a splintered timeline in which the Great Holy Grail War is waged on an unprecedented scale.,TV Show,TV-MA
